"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should show invalid email inline error when email does not have characters after @","signup","Tue Jan 20 01:56:15 UTC 2026","skipped","Tue Jan 20 01:56:15 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3032","should show invalid email inline error when invalid email format is provided","signup","Tue Jan 20 01:56:15 UTC 2026","passed","Tue Jan 20 01:56:18 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3080","should show inline errors when empty fields are submitted","signup","Tue Jan 20 01:56:18 UTC 2026","passed","Tue Jan 20 01:56:22 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","3921","should redirect to login page when clicking the login link","signup","Tue Jan 20 01:56:06 UTC 2026","passed","Tue Jan 20 01:56:10 UTC 2026","Signup Page - EN > Links and Navigation - EN","tests/signup.spec.ts","",""
"","1454","should show password above maximum length inline error","signup","Tue Jan 20 01:56:14 UTC 2026","passed","Tue Jan 20 01:56:16 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","2901","should signup link have correct href","signup","Tue Jan 20 01:56:27 UTC 2026","passed","Tue Jan 20 01:56:30 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","1557","should show password mismatch inline error","signup","Tue Jan 20 01:56:11 UTC 2026","passed","Tue Jan 20 01:56:13 UTC 2026","Signup Page - EN > Form Validation - EN","tests/signup.spec.ts","",""
"","4061","should not login when password provided is incorrect for an existing user","signup","Tue Jan 20 01:56:30 UTC 2026","passed","Tue Jan 20 01:56:34 UTC 2026","Login Page - EN","tests/login.spec.ts","",""
"","9352","should block user after multiple failed login attempts","signup","Tue Jan 20 01:56:34 UTC 2026","passed","Tue Jan 20 01:56:43 UTC 2026","Account Security - EN","tests/login.spec.ts","",""
"","6338","should create account when valid inputs are provided and phone number is not from region of purchase","signup","Tue Jan 20 01:56:15 UTC 2026","passed","Tue Jan 20 01:56:21 UTC 2026","Signup Page - EN > Account Creation - EN","tests/signup.spec.ts","",""
